anthropic/claude-sonnet-4.5
minimax/minimax-m2:free
google/gemini-2.5-flash
google/gemini-2.5-pro
x-ai/grok-4-fast
z-ai/glm-4.6
deepseek/deepseek-chat-v3.1
openai/gpt-4o-mini
google/gemma-3-12b-it
openai/gpt-oss-120b
openai/gpt-5
anthropic/claude-opus-4.1
qwen/qwen3-max
mistralai/mistral-medium-3.1
meta-llama/llama-3.3-70b-instruct:free
openai/gpt-3.5-turbo
qwen/qwen3-next-80b-a3b-thinking
mistralai/mistral-small-3.2-24b-instruct
cohere/command-a
microsoft/phi-4
